14:25:32 | L1 | SESION | Apertura de sesion
14:43:12 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
14:43:18 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
14:43:22 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
14:43:22 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
14:43:23 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
14:43:27 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Negativo
14:43:29 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
14:43:29 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
14:43:30 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:43:32 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
14:43:33 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Abstencion
14:44:26 | L1 | SESION | Apertura de sesion
14:44:33 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº6 con tema: lijkk
14:44:39 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
14:44:40 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
14:44:41 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
14:44:42 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
14:44:43 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Negativo
14:44:45 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Negativo
14:45:14 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
14:45:15 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
14:45:16 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
14:46:00 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº6 con tema: lijkk
14:46:02 | L1 | VOTACION | Cierre forzado [<app.models.concejal.Concejal object at 0x00000171FCE30C20>, <app.models.concejal.Concejal object at 0x00000171FCD66D50>, <app.models.concejal.Concejal object at 0x00000171FCD66E90>, <app.models.concejal.Concejal object at 0x00000171FCE189D0>, <app.models.concejal.Concejal object at 0x00000171FCE19350>, <app.models.concejal.Concejal object at 0x00000171FCD4AD50>, <app.models.concejal.Concejal object at 0x00000171FCDB2250>, <app.models.concejal.Concejal object at 0x00000171FCDB1D50>, <app.models.concejal.Concejal object at 0x00000171FCE495E0>] sin votar
14:47:09 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº6 con tema: lijkk
14:47:13 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
14:47:16 | L1 | SESION | Cierre de sesion
