09:38:04 | L3 | SESION | Cierre de sesion Nº93
10:00:18 | L3 | VOTACION | Votacion Nº29 completada. Resultado: RECHAZADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:00:30 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº31 con tema: Autorización de uso de espacio público, evento solidario y logística
10:00:33 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:00:34 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:00:34 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
10:00:35 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
10:00:36 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:00:37 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:00:37 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
10:00:38 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
10:00:40 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Negativo
10:00:41 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
10:00:41 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Negativo
10:00:42 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
10:00:42 | L3 | VOTACION | Votacion Nº31 completada. Resultado: EMPATADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:01:30 | L3 | VOTACION | Votacion Nº31 DESEMPATADA. Resultado: APROBADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:02:41 | L3 | VOTACION | Apertura de votacion de tipo Ratificacion Nº35 con tema: Ratificación de convenio provincial, asistencia técnica y financiamiento
10:02:51 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:02:52 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
10:02:53 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:02:54 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:02:55 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Abstencion
10:02:56 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Abstencion
10:02:57 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Abstencion
10:02:57 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
10:02:59 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:03:00 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:03:00 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
10:03:02 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se AUSENTO
10:04:16 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº47 con tema: Creación de consejo consultivo ambiental, representación y funciones
10:04:20 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:04:21 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:04:21 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
10:04:23 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:04:23 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:04:24 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
10:04:24 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
10:04:25 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:04:26 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
10:04:26 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
10:04:27 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:04:27 | L3 | VOTACION | Votacion Nº47 completada. Resultado: APROBADA - Votos: 11 de 12 - 8 Positivos, 1 Negativos y 2 Abstenciones
10:38:09 | L3 | SESION | Cierre de sesion Nº369
10:44:45 | L3 | SESION | Apertura de sesion Nº93
10:53:53 | L3 | SESION | Apertura de sesion Nº93
10:54:13 | L3 | INPUT | Tom Hanks (banca Nro:5) se AUSENTO
10:55:45 | L3 | INPUT | Emma Stone (banca Nro:8) se AUSENTO
10:57:55 | L3 | SESION | Apertura de sesion Nº93
10:58:07 | L3 | INPUT | Emma Stone (banca Nro:8) se AUSENTO
10:58:08 | L3 | INPUT | Tom Hanks (banca Nro:5) se AUSENTO
10:58:19 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
10:58:28 | L3 | INPUT | Natalie Portman (banca Nro:4) se AUSENTO
10:58:40 | L3 | INPUT | Natalie Portman (banca Nro:4) se PRESENTO
10:59:45 | L3 | INPUT | Brad Pitt (banca Nro:9) se AUSENTO
12:47:03 | L3 | SESION | Apertura de sesion Nº679
12:47:09 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº23 con tema: Habilitación simplificada para emprendedores, ventanilla única y plazos
12:47:16 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
12:47:21 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
12:47:22 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Abstencion
12:47:22 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
12:47:23 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
12:47:24 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Negativo
12:47:25 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
12:47:25 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
12:47:26 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Abstencion
12:47:27 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
12:47:27 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
12:47:33 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
12:47:33 | L3 | VOTACION | Votacion Nº23 completada. Resultado: APROBADA - Votos: 12 de 12 - 6 Positivos, 4 Negativos y 2 Abstenciones
12:47:39 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se AUSENTO
12:47:41 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se PRESENTO
12:47:44 | L3 | INPUT | Brad Pitt (banca Nro:9) se AUSENTO
12:47:45 | L3 | INPUT | Brad Pitt (banca Nro:9) se PRESENTO
12:47:59 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº21 con tema: Plan de arbolado urbano, reposición de especies y riego programado
12:48:01 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se AUSENTO
12:48:03 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se PRESENTO
12:48:07 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se AUSENTO
12:48:08 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se PRESENTO
12:48:10 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
13:03:39 | L3 | SESION | Cierre de sesion Nº679
13:03:41 | L3 | SESION | Apertura de sesion Nº93
13:03:47 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº3 con tema: Pedido de informes, estado del alumbrado público en Barrio Sur
13:03:51 | L3 | INPUT | Keanu Reeves (banca Nro:11) se AUSENTO
13:03:58 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) pidio la palabra
13:03:59 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) retiro el pedido la palabra
13:04:00 | L3 | PALABRA | Cate Blanchett (banca Nro:10) pidio la palabra
13:04:01 | L3 | PALABRA | Brad Pitt (banca Nro:9) pidio la palabra
13:04:02 | L3 | PALABRA | Meryl Streep (banca Nro:6) pidio la palabra
13:04:03 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
13:09:51 | L3 | SESION | Apertura de sesion Nº93
13:10:11 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº2 con tema: Declaración de interés municipal, jornada de salud comunitaria en barrios
13:10:18 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
13:10:20 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:10:24 | L3 | PALABRA | Natalie Portman (banca Nro:4) pidio la palabra
13:10:28 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
13:10:28 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
13:10:29 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
13:11:42 | L3 | PALABRA | Se otorgo uso de la palabra a Natalie Portman (banca Nro:4)
13:12:43 | L3 | SESION | Apertura de sesion Nº93
13:12:54 | L3 | SESION | Cierre de sesion Nº93
13:13:02 | L3 | SESION | Apertura de sesion Nº683
13:13:06 | L3 | INPUT | Meryl Streep (banca Nro:6) se AUSENTO
13:13:10 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
13:13:10 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
13:13:11 | L3 | PALABRA | Natalie Portman (banca Nro:4) pidio la palabra
13:13:12 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
13:13:19 | L3 | PALABRA | Se otorgo uso de la palabra a Denzel Washington (banca Nro:7)
15:52:32 | L3 | SESION | Apertura de sesion Nº29
15:53:02 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº7 con tema: Designación de autoridades de comisiones, período legislativo en curso
15:53:09 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
15:59:20 | L3 | INPUT | Leonardo DiCaprio (banca Nro:3) se AUSENTO
15:59:22 | L3 | INPUT | Leonardo DiCaprio (banca Nro:3) se PRESENTO
15:59:38 | L3 | INPUT | Keanu Reeves (banca Nro:11) se AUSENTO
15:59:39 | L3 | INPUT | Keanu Reeves (banca Nro:11) se PRESENTO
15:59:45 | L3 | INPUT | Cate Blanchett (banca Nro:10) se AUSENTO
15:59:46 | L3 | INPUT | Cate Blanchett (banca Nro:10) se PRESENTO
15:59:49 | L3 | PALABRA | Brad Pitt (banca Nro:9) pidio la palabra
15:59:50 | L3 | PALABRA | Brad Pitt (banca Nro:9) retiro el pedido la palabra
15:59:51 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
16:00:15 | L3 | VOTACION | Apertura de votacion de tipo Mocion Nº4 con tema: Moción para incorporar al orden del día, nota de vecinos por seguridad vial
16:00:19 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Abstencion
16:00:20 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
16:00:20 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
16:00:21 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
16:00:21 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Abstencion
16:00:22 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
16:00:23 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Abstencion
16:00:26 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
16:00:27 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
16:00:28 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
16:00:29 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
16:00:47 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
16:00:47 | L3 | VOTACION | Votacion Nº4 completada. Resultado: APROBADA - Votos: 11 de 12 - 6 Positivos, 1 Negativos y 4 Abstenciones
16:50:49 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
16:50:53 | L3 | PALABRA | Denzel Washington (banca Nro:7) retiro el pedido la palabra
16:50:59 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se PRESENTO
16:51:24 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
16:51:25 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) retiro el pedido la palabra
16:51:34 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
16:51:37 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se PRESENTO
16:57:37 | L3 | SESION | Cierre de sesion Nº29
16:57:39 | L3 | SESION | Apertura de sesion Nº0
16:57:44 | L3 | SESION | Cierre de sesion Nº0
16:57:48 | L3 | SESION | Apertura de sesion Nº0
16:58:39 | L3 | SESION | Apertura de sesion Nº0
17:02:30 | L3 | SESION | Apertura de sesion Nº0
17:03:20 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
17:03:23 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se PRESENTO
17:03:27 | L3 | INPUT | Scarlett Johansson (banca Nro:2) se AUSENTO
17:13:12 | L3 | SESION | Cierre de sesion Nº0
17:13:13 | L3 | SESION | Apertura de sesion Nº0
17:13:20 | L3 | SESION | Cierre de sesion Nº0
17:13:21 | L3 | SESION | Apertura de sesion Nº0
17:13:23 | L3 | SESION | Cierre de sesion Nº0
17:13:34 | L3 | SESION | Apertura de sesion Nº0
17:14:08 | L3 | SESION | Apertura de sesion Nº0
17:15:28 | L3 | SESION | Cierre de sesion Nº0
17:16:09 | L3 | SESION | Apertura de sesion Nº0
17:16:46 | L3 | SESION | Cierre de sesion Nº0
17:16:49 | L3 | SESION | Apertura de sesion Nº0
17:21:05 | L3 | SESION | Apertura de sesion Nº0
17:21:27 | L3 | SESION | Apertura de sesion Nº0
17:46:05 | L3 | SESION | Cierre de sesion Nº0
17:46:06 | L3 | SESION | Apertura de sesion Nº0
17:46:50 | L3 | SESION | Cierre de sesion Nº0
17:46:52 | L3 | SESION | Apertura de sesion Nº93
17:47:10 | L3 | SESION | Cierre de sesion Nº93
17:47:17 | L3 | SESION | Apertura de sesion Nº93
17:55:13 | L3 | SESION | Cierre de sesion Nº93
17:55:15 | L3 | SESION | Apertura de sesion Nº93
17:55:16 | L3 | SESION | Cierre de sesion Nº93
17:55:17 | L3 | SESION | Apertura de sesion Nº93
18:03:18 | L3 | SESION | Cierre de sesion Nº93
18:03:25 | L3 | SESION | Apertura de sesion Nº8
18:03:45 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº9 con tema: a
18:03:49 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
18:03:52 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
18:03:53 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
18:15:53 | L3 | VOTACION | Cierre forzado - sin votar: [Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
18:15:53 | L3 | SESION | Cierre de sesion Nº8
18:15:54 | L3 | SESION | Apertura de sesion Nº6
19:04:29 | L3 | SESION | Cierre de sesion Nº6
19:04:35 | L3 | SESION | Apertura de sesion Nº3
19:04:44 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº7 con tema: Designación de autoridades de comisiones, período legislativo en curso
19:04:46 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
19:04:49 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº2 con tema: Declaración de interés municipal, jornada de salud comunitaria en barrios
19:04:52 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
19:04:53 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
19:04:53 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Abstencion
19:04:54 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
19:04:55 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Abstencion
19:04:55 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
19:04:56 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
19:04:57 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
19:04:58 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
19:04:59 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
19:05:00 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Abstencion
19:05:38 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
19:05:38 | L3 | VOTACION | Votacion Nº2 completada. Resultado: EMPATADA - Votos: 12 de 12 - 4 Positivos, 4 Negativos y 4 Abstenciones
19:05:48 | L3 | VOTACION | Votacion Nº2 DESEMPATADA. Resultado: RECHAZADA - Votos: 12 de 12 - 4 Positivos, 4 Negativos y 4 Abstenciones
19:22:48 | L3 | SESION | Cierre de sesion Nº3
19:23:04 | L3 | SESION | Apertura de sesion Nº3
19:33:07 | L3 | INPUT | Tom Hanks (banca Nro:5) se AUSENTO
19:33:19 | L3 | INPUT | Tom Hanks (banca Nro:5) se PRESENTO
19:33:31 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
19:33:45 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) pidio la palabra
19:33:48 | L3 | PALABRA | Cate Blanchett (banca Nro:10) pidio la palabra
19:33:49 | L3 | PALABRA | Brad Pitt (banca Nro:9) pidio la palabra
19:34:19 | L3 | PALABRA | Se otorgo uso de la palabra a Denzel Washington (banca Nro:7)
19:34:22 | L3 | PALABRA | Se otorgo uso de la palabra a Jennifer Lawrence (banca Nro:12)
19:41:32 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) pidio la palabra
19:41:35 | L3 | PALABRA | Keanu Reeves (banca Nro:11) pidio la palabra
19:41:47 | L3 | PALABRA | Se otorgo uso de la palabra a Cate Blanchett (banca Nro:10)
19:47:47 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
19:47:49 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
19:48:47 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
19:48:48 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) retiro el pedido la palabra
19:48:49 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
19:48:50 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) retiro el pedido la palabra
19:48:50 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
19:48:52 | L3 | PALABRA | Natalie Portman (banca Nro:4) pidio la palabra
19:48:54 | L3 | PALABRA | Tom Hanks (banca Nro:5) pidio la palabra
19:48:55 | L3 | PALABRA | Meryl Streep (banca Nro:6) pidio la palabra
19:48:57 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
19:57:36 | L3 | PALABRA | Se otorgo uso de la palabra a Brad Pitt (banca Nro:9)
19:57:37 | L3 | PALABRA | Se otorgo uso de la palabra a Jennifer Lawrence (banca Nro:12)
19:57:38 | L3 | PALABRA | Se otorgo uso de la palabra a Keanu Reeves (banca Nro:11)
19:57:39 | L3 | PALABRA | Se otorgo uso de la palabra a Robert Downey Jr (banca Nro:1)
19:57:45 | L3 | PALABRA | Se otorgo uso de la palabra a Scarlett Johansson (banca Nro:2)
20:05:09 | L3 | SESION | Apertura de sesion Nº93
20:05:12 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
20:05:13 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
20:05:13 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
20:05:15 | L3 | PALABRA | Tom Hanks (banca Nro:5) pidio la palabra
20:05:16 | L3 | PALABRA | Meryl Streep (banca Nro:6) pidio la palabra
20:05:16 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
20:05:17 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
20:05:19 | L3 | PALABRA | Se otorgo uso de la palabra a Robert Downey Jr (banca Nro:1)
20:05:52 | L3 | PALABRA | Se otorgo uso de la palabra a Scarlett Johansson (banca Nro:2)
20:05:55 | L3 | PALABRA | Se otorgo uso de la palabra a Leonardo DiCaprio (banca Nro:3)
20:05:56 | L3 | PALABRA | Se otorgo uso de la palabra a Tom Hanks (banca Nro:5)
20:06:09 | L3 | PALABRA | Se otorgo uso de la palabra a Meryl Streep (banca Nro:6)
20:12:50 | L3 | SESION | Apertura de sesion Nº93
20:12:53 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
20:12:55 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
20:12:55 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
20:12:57 | L3 | PALABRA | Se otorgo uso de la palabra a Robert Downey Jr (banca Nro:1)
20:15:25 | L3 | SESION | Apertura de sesion Nº93
20:16:06 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº6 con tema: Convenio de cooperación con Universidad, pasantías y prácticas profesionales
20:16:14 | L3 | PALABRA | Tom Hanks (banca Nro:5) pidio la palabra
20:16:16 | L3 | PALABRA | Meryl Streep (banca Nro:6) pidio la palabra
20:16:18 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
20:16:18 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
20:16:33 | L3 | PALABRA | Se otorgo uso de la palabra a Tom Hanks (banca Nro:5)
20:16:34 | L3 | PALABRA | Se quito el uso de la palabra a Tom Hanks (banca Nro:5)
20:17:38 | L3 | PALABRA | Se otorgo uso de la palabra a Meryl Streep (banca Nro:6)
20:17:40 | L3 | PALABRA | Se quito el uso de la palabra a Meryl Streep (banca Nro:6)
20:17:42 | L3 | PALABRA | Se otorgo uso de la palabra a Denzel Washington (banca Nro:7)
20:17:44 | L3 | PALABRA | Se otorgo uso de la palabra a Emma Stone (banca Nro:8)
20:17:51 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
20:18:12 | L3 | PALABRA | Tom Hanks (banca Nro:5) pidio la palabra
20:18:13 | L3 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
20:18:14 | L3 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
20:18:15 | L3 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
20:18:15 | L3 | PALABRA | Natalie Portman (banca Nro:4) pidio la palabra
20:18:16 | L3 | PALABRA | Meryl Streep (banca Nro:6) pidio la palabra
20:18:17 | L3 | PALABRA | Denzel Washington (banca Nro:7) pidio la palabra
20:18:18 | L3 | PALABRA | Emma Stone (banca Nro:8) pidio la palabra
20:18:20 | L3 | PALABRA | Brad Pitt (banca Nro:9) pidio la palabra
20:18:21 | L3 | PALABRA | Cate Blanchett (banca Nro:10) pidio la palabra
20:18:22 | L3 | PALABRA | Keanu Reeves (banca Nro:11) pidio la palabra
20:18:23 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) pidio la palabra
20:18:24 | L3 | PALABRA | Jennifer Lawrence (banca Nro:12) retiro el pedido la palabra
20:18:26 | L3 | PALABRA | Keanu Reeves (banca Nro:11) retiro el pedido la palabra
20:18:27 | L3 | PALABRA | Cate Blanchett (banca Nro:10) retiro el pedido la palabra
20:18:28 | L3 | PALABRA | Brad Pitt (banca Nro:9) retiro el pedido la palabra
20:18:29 | L3 | PALABRA | Emma Stone (banca Nro:8) retiro el pedido la palabra
20:18:30 | L3 | PALABRA | Denzel Washington (banca Nro:7) retiro el pedido la palabra
20:18:30 | L3 | PALABRA | Meryl Streep (banca Nro:6) retiro el pedido la palabra
20:18:31 | L3 | PALABRA | Tom Hanks (banca Nro:5) retiro el pedido la palabra
20:50:39 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº3 con tema: Pedido de informes, estado del alumbrado público en Barrio Sur
20:50:46 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
20:50:58 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
