09:37:58 | L2 | SESION | Rechazo de apertura de sesion porque ya hay sesion abierta
10:00:34 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:00:34 | L2 | INPUT | Cate Blanchett (banca Nro:10) voto: Positivo
10:00:34 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev11]
10:00:34 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
10:00:34 | L2 | INPUT | Keanu Reeves (banca Nro:11) voto: Positivo
10:00:35 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev12]
10:00:35 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
10:00:35 | L2 | INPUT | Jennifer Lawrence (banca Nro:12) voto: Positivo
10:00:36 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
10:00:36 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:00:36 | L2 | INPUT | Tom Hanks (banca Nro:5) voto: Positivo
10:00:37 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
10:00:37 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:00:37 | L2 | INPUT | Meryl Streep (banca Nro:6) voto: Positivo
10:00:37 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev07]
10:00:37 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
10:00:37 | L2 | INPUT | Denzel Washington (banca Nro:7) voto: Negativo
10:00:38 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
10:00:38 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
10:00:38 | L2 | INPUT | Emma Stone (banca Nro:8) voto: Negativo
10:00:40 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev01]
10:00:40 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Negativo
10:00:40 | L2 | INPUT | Robert Downey Jr (banca Nro:1) voto: Negativo
10:00:41 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev02]
10:00:41 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
10:00:41 | L2 | INPUT | Scarlett Johansson (banca Nro:2) voto: Negativo
10:00:41 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev03]
10:00:41 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Negativo
10:00:41 | L2 | INPUT | Leonardo DiCaprio (banca Nro:3) voto: Negativo
10:00:42 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev04]
10:00:42 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
10:00:42 | L3 | VOTACION | Votacion Nº31 completada. Resultado: EMPATADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:00:42 | L2 | INPUT | Natalie Portman (banca Nro:4) voto: Negativo
10:01:30 | L3 | VOTACION | Votacion Nº31 DESEMPATADA. Resultado: APROBADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
10:02:41 | L3 | VOTACION | Apertura de votacion de tipo Ratificacion Nº35 con tema: Ratificación de convenio provincial, asistencia técnica y financiamiento
10:02:51 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
10:02:51 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:02:51 | L2 | INPUT | Robert Downey Jr (banca Nro:1) voto: Positivo
10:02:52 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
10:02:52 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
10:02:52 | L2 | INPUT | Scarlett Johansson (banca Nro:2) voto: Positivo
10:02:53 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
10:02:53 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:02:53 | L2 | INPUT | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:02:54 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
10:02:54 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:02:54 | L2 | INPUT | Natalie Portman (banca Nro:4) voto: Positivo
10:02:55 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev05]
10:02:55 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Abstencion
10:02:55 | L2 | INPUT | Tom Hanks (banca Nro:5) voto: Abstencion
10:02:56 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev06]
10:02:56 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Abstencion
10:02:56 | L2 | INPUT | Meryl Streep (banca Nro:6) voto: Abstencion
10:02:57 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev07]
10:02:57 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Abstencion
10:02:57 | L2 | INPUT | Denzel Washington (banca Nro:7) voto: Abstencion
10:02:57 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev08]
10:02:57 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
10:02:57 | L2 | INPUT | Emma Stone (banca Nro:8) voto: Abstencion
10:02:59 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev09]
10:02:59 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:02:59 | L2 | INPUT | Brad Pitt (banca Nro:9) voto: Positivo
10:03:00 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev10]
10:03:00 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:03:00 | L2 | INPUT | Cate Blanchett (banca Nro:10) voto: Positivo
10:03:00 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev11]
10:03:00 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
10:03:00 | L2 | INPUT | Keanu Reeves (banca Nro:11) voto: Abstencion
10:03:02 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev12]
10:03:02 | L3 | INPUT | Jennifer Lawrence (banca Nro:12) se AUSENTO
10:04:16 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº47 con tema: Creación de consejo consultivo ambiental, representación y funciones
10:04:20 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev09]
10:04:20 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
10:04:20 | L2 | INPUT | Brad Pitt (banca Nro:9) voto: Positivo
10:04:21 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev10]
10:04:21 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
10:04:21 | L2 | INPUT | Cate Blanchett (banca Nro:10) voto: Positivo
10:04:21 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev11]
10:04:21 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
10:04:21 | L2 | INPUT | Keanu Reeves (banca Nro:11) voto: Positivo
10:04:22 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev12]
10:04:22 | L2 | INPUT | Jennifer Lawrence (banca Nro:12) interactua sin dar presente
10:04:23 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
10:04:23 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:04:23 | L2 | INPUT | Tom Hanks (banca Nro:5) voto: Positivo
10:04:23 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
10:04:23 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:04:23 | L2 | INPUT | Meryl Streep (banca Nro:6) voto: Positivo
10:04:24 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev07]
10:04:24 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
10:04:24 | L2 | INPUT | Denzel Washington (banca Nro:7) voto: Positivo
10:04:24 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev08]
10:04:24 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
10:04:24 | L2 | INPUT | Emma Stone (banca Nro:8) voto: Abstencion
10:04:25 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
10:04:25 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:04:25 | L2 | INPUT | Natalie Portman (banca Nro:4) voto: Positivo
10:04:26 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev03]
10:04:26 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
10:04:26 | L2 | INPUT | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
10:04:26 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev02]
10:04:26 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
10:04:26 | L2 | INPUT | Scarlett Johansson (banca Nro:2) voto: Negativo
10:04:27 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
10:04:27 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:04:27 | L3 | VOTACION | Votacion Nº47 completada. Resultado: APROBADA - Votos: 11 de 12 - 8 Positivos, 1 Negativos y 2 Abstenciones
10:04:27 | L2 | INPUT | Robert Downey Jr (banca Nro:1) voto: Positivo
10:38:09 | L3 | SESION | Cierre de sesion Nº369
10:38:10 | L2 | SESION | Cierre de sesion fallido porque no hay sesion abierta
10:44:45 | L3 | SESION | Apertura de sesion Nº93
10:53:53 | L3 | SESION | Apertura de sesion Nº93
10:54:13 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev05]
10:54:13 | L3 | INPUT | Tom Hanks (banca Nro:5) se AUSENTO
10:55:45 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev08]
10:55:45 | L3 | INPUT | Emma Stone (banca Nro:8) se AUSENTO
10:57:55 | L3 | SESION | Apertura de sesion Nº93
10:58:07 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev08]
10:58:07 | L3 | INPUT | Emma Stone (banca Nro:8) se AUSENTO
10:58:07 | L2 | INPUT | Emma Stone (banca Nro:8) presiono tecla: 7 y no tiene funcion asignada
10:58:08 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev05]
10:58:08 | L3 | INPUT | Tom Hanks (banca Nro:5) se AUSENTO
10:58:08 | L2 | INPUT | Tom Hanks (banca Nro:5) presiono tecla: 7 y no tiene funcion asignada
10:58:19 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
10:58:19 | L3 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
10:58:19 | L2 | INPUT | Robert Downey Jr (banca Nro:1) presiono tecla: 7 y no tiene funcion asignada
10:58:28 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev04]
10:58:28 | L3 | INPUT | Natalie Portman (banca Nro:4) se AUSENTO
10:58:28 | L2 | INPUT | Natalie Portman (banca Nro:4) presiono tecla: 7 y no tiene funcion asignada
10:58:40 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev04]
10:58:40 | L3 | INPUT | Natalie Portman (banca Nro:4) se PRESENTO
10:58:40 | L2 | INPUT | Natalie Portman (banca Nro:4) presiono tecla: 7 y no tiene funcion asignada
10:59:45 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev09]
10:59:45 | L3 | INPUT | Brad Pitt (banca Nro:9) se AUSENTO
10:59:45 | L2 | INPUT | Brad Pitt (banca Nro:9) presiono tecla: 7 y no tiene funcion asignada
