11:16:19 | L3 | SESION | Apertura de sesion Nº93
13:30:46 | L3 | INPUT | Andrea Rueda (banca Nro:3) se AUSENTO
13:30:47 | L3 | INPUT | Samuel Alarcón Muñoz (banca Nro:2) se AUSENTO
13:30:50 | L3 | VOTO | Lorena Moreno (banca Nro:1) voto: Negativo
13:31:00 | L3 | VOTO | Hernán Pereira (banca Nro:6) voto: Abstencion
13:31:10 | L3 | VOTO | Dardo Petroli (banca Nro:9) voto: Abstencion
13:31:16 | L3 | VOTO | Roxana Barrera (banca Nro:10) voto: Abstencion
13:31:16 | L3 | VOTACION | Votacion Nº1 completada. Resultado: EMPATADA - Votos: 12 de 12 - 3 Positivos, 3 Negativos y 6 Abstenciones
13:31:38 | L3 | VOTACION | Votacion Nº1 DESEMPATADA. Resultado: APROBADA - Votos: 12 de 12 - 3 Positivos, 3 Negativos y 6 Abstenciones
13:31:49 | L3 | INPUT | Roxana Barrera (banca Nro:10) se AUSENTO
13:31:50 | L3 | INPUT | Roxana Barrera (banca Nro:10) se PRESENTO
13:31:53 | L3 | INPUT | Samuel Alarcón Muñoz (banca Nro:2) se PRESENTO
13:31:54 | L3 | INPUT | Andrea Rueda (banca Nro:3) se PRESENTO
13:31:57 | L3 | INPUT | Gastón Cuis Taccari (banca Nro:4) se PRESENTO
14:36:32 | L3 | INPUT | Lorena Moreno (banca Nro:1) se AUSENTO
14:36:34 | L3 | INPUT | Lorena Moreno (banca Nro:1) se PRESENTO
14:36:35 | L3 | INPUT | Lorena Moreno (banca Nro:1) se AUSENTO
14:36:37 | L3 | INPUT | Lorena Moreno (banca Nro:1) se PRESENTO
14:36:39 | L3 | PALABRA | Lorena Moreno (banca Nro:1) pidio la palabra
14:36:40 | L3 | PALABRA | Samuel Alarcón Muñoz (banca Nro:2) pidio la palabra
14:36:41 | L3 | PALABRA | Andrea Rueda (banca Nro:3) pidio la palabra
14:36:43 | L3 | PALABRA | Se otorgo uso de la palabra a Lorena Moreno (banca Nro:1)
14:36:49 | L3 | PALABRA | Se otorgo uso de la palabra a Samuel Alarcón Muñoz (banca Nro:2)
14:36:55 | L3 | PALABRA | Se otorgo uso de la palabra a Andrea Rueda (banca Nro:3)
