12:55:13 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
13:56:56 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:56:57 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:56:58 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:56:59 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:57:00 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
13:57:02 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:57:03 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
13:57:06 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
13:57:09 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
13:57:19 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
13:57:21 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
13:57:23 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:57:23 | L1 | VOTACION | Votacion Nº97 completada
13:57:29 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
13:57:32 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:57:33 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:57:34 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:57:35 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:57:36 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
13:57:37 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:57:37 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
13:57:38 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
13:57:40 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
13:57:42 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
13:57:42 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
13:57:43 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:57:43 | L1 | VOTACION | Votacion Nº97 completada
13:57:54 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
13:58:00 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:58:00 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:58:01 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:58:01 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:58:02 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
13:58:03 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:58:04 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
13:58:06 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
13:58:07 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Abstencion
13:58:08 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Abstencion
13:59:17 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
13:59:23 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
13:59:26 | L1 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
13:59:28 | L1 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
13:59:36 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:59:37 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:59:38 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:59:44 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:59:48 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
13:59:49 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:59:51 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
13:59:52 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
13:59:54 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
13:59:55 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
13:59:55 | L1 | VOTACION | Votacion Nº97 completada
14:00:06 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) retiro el pedido la palabra
14:00:15 | L1 | SESION | Cierre de sesion
14:00:16 | L1 | SESION | Apertura de sesion
14:00:21 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
14:00:25 | L1 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
14:00:28 | L1 | PALABRA | Leonardo DiCaprio (banca Nro:3) pidio la palabra
14:00:29 | L1 | PALABRA | Natalie Portman (banca Nro:4) pidio la palabra
14:00:31 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
14:01:14 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
14:01:15 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
14:01:15 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
14:01:16 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:01:17 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
14:01:18 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
14:01:18 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
14:01:19 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
14:01:32 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
14:02:04 | L1 | PALABRA | Natalie Portman (banca Nro:4) retiro el pedido la palabra
14:02:11 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
14:02:12 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
14:02:13 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
14:02:14 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
14:02:15 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
14:02:15 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
14:02:16 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:02:18 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
14:02:19 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
14:02:19 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
14:02:20 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
14:02:20 | L1 | VOTACION | Votacion Nº97 completada
14:02:49 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) retiro el pedido la palabra
14:02:52 | L1 | PALABRA | Scarlett Johansson (banca Nro:2) retiro el pedido la palabra
14:03:04 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
14:03:09 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
14:03:10 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
14:03:11 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
14:03:12 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
14:03:13 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:03:13 | L1 | VOTACION | Votacion Nº97 completada
14:03:33 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: caca
14:03:48 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
14:03:50 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
14:03:51 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
14:03:52 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
14:03:54 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
14:03:54 | L1 | VOTACION | Votacion Nº97 completada
14:53:06 | L1 | SESION | Apertura de sesion
14:53:11 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº9 con tema: hnvb
14:54:09 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
14:54:09 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
14:54:45 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev05]
14:54:45 | L1 | PALABRA | Tom Hanks (banca Nro:5) pidio la palabra
14:54:50 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev05]
14:55:37 | L1 | SESION | Apertura de sesion
14:55:45 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: hnvb
14:55:56 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
14:55:56 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
14:56:00 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev02]
14:56:00 | L1 | PALABRA | Scarlett Johansson (banca Nro:2) pidio la palabra
14:56:06 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev02]
14:56:06 | L1 | INPUT | Scarlett Johansson (banca Nro:2) se AUSENTO
14:56:12 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev02]
14:56:21 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev02]
14:56:23 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev02]
14:56:28 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev02]
14:56:28 | L1 | INPUT | Scarlett Johansson (banca Nro:2) se PRESENTO
14:56:31 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev02]
14:56:31 | L1 | PALABRA | Scarlett Johansson (banca Nro:2) retiro el pedido la palabra
14:58:26 | L1 | SESION | Apertura de sesion
14:58:28 | L1 | SESION | Cierre de sesion
14:58:32 | L1 | SESION | Apertura de sesion
15:01:18 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
15:01:23 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
15:08:06 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
15:08:07 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
15:08:10 | L1 | SESION | Cierre de sesion fallido porque no hay sesion abierta
