12:49:58 | L3 | VOTACION | Cierre forzado - sin votar: [Dardo Petroli (banca Nro:9), Roxana Barrera (banca Nro:10), Nadia Garay (banca Nro:12), Walter Herrero (banca Nro:11), Lorena Moreno (banca Nro:1), Samuel Alarcón Muñoz (banca Nro:2), Andrea Rueda (banca Nro:3)]
15:48:18 | L3 | VOTACION | Votacion Nº19 completada. Resultado: RECHAZADA - Votos: 11 de 12 - 5 Positivos, 6 Negativos y 0 Abstenciones
15:49:11 | L3 | INPUT | Nadia Garay (banca Nro:12) se PRESENTO
15:49:24 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº54 con tema: Permiso de uso, instalación de garitas y paradas de colectivos
15:49:29 | L3 | VOTO | Dardo Petroli (banca Nro:9) voto: Positivo
15:49:30 | L3 | VOTO | Roxana Barrera (banca Nro:10) voto: Positivo
15:49:31 | L3 | VOTO | Walter Herrero (banca Nro:11) voto: Positivo
15:49:32 | L3 | VOTO | Nadia Garay (banca Nro:12) voto: Positivo
15:49:33 | L3 | VOTO | Andrea Garachico (banca Nro:5) voto: Positivo
15:49:33 | L3 | VOTO | Hernán Pereira (banca Nro:6) voto: Positivo
15:49:35 | L3 | VOTO | Federico Garitano (banca Nro:7) voto: Negativo
15:49:36 | L3 | VOTO | Lucila González (banca Nro:8) voto: Negativo
15:49:38 | L3 | VOTO | Lorena Moreno (banca Nro:1) voto: Negativo
15:49:40 | L3 | VOTO | Samuel Alarcón Muñoz (banca Nro:2) voto: Negativo
15:49:42 | L3 | VOTO | Andrea Rueda (banca Nro:3) voto: Negativo
15:49:46 | L3 | VOTO | Gastón Cuis Taccari (banca Nro:4) voto: Negativo
15:49:46 | L3 | VOTACION | Votacion Nº54 completada. Resultado: EMPATADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
15:50:04 | L3 | VOTACION | Votacion Nº54 DESEMPATADA. Resultado: APROBADA - Votos: 12 de 12 - 6 Positivos, 6 Negativos y 0 Abstenciones
